variables
TR.HoldingsDate
TR.EarliestHoldingsDate
TR.PctOfSharesOutHeld
TR.SharesHeld
TR.SharesHeldValue
TR.InvestorFullName
TR.FilingType
TR.InvParentType
TR.OwnTrnverRating
TR.OwnTrnverRatingCode
TR.OwnTurnover
TR.NbrOfInstrHeldByInv
TR.NbrOfInstrBoughtByInv
TR.NbrOfInstrSoldByInv
TR.PctPortfolio
TR.InvestorType
TR.InvInvestmentStyleCode
TR.InvInvmtOrientation
TR.InvestorRegion
TR.InvAddrCountry
